,data_id,message_id,date,text,tweet_lang,place,photo_url,geometry,source
10,11,1543387394757611522,2022-07-03 00:13:24,"LACoFD-5 | Antelope Valley Vegetation Fire reported at Nb 14 So Pearblossom Hwy--cut-off, Acton, Ca

https://t.co/IlguK2NgT5
#lacofd #lacofdalert",en,"California, USA",,POINT (-118.1146 34.50554),cali_fire
11,12,1322999151769100291,2020-11-01 20:29:12+00:00,"@Milan_sunshine @Bristolvor Oh no dear, never",en,na,na,"POLYGON ((-0.080028 51.48432, -0.080028 51.545341, 0.009989 51.545341, 0.009989 51.48432, -0.080028 51.48432))",random
12,13,1333858034225967107,2020-12-01 19:38:31+00:00,"Just posted a photo @ Wimbledon, United Kingdom https://t.co/ng6IpMr8BC",en,na,na,POINT (-0.216667 51.4333),random
13,14,1544009997780074498,2022-07-04 17:27:24,"Bring your pets in.  Also, please be mindful of veterans who suffer from #PTSD #pets #Fireworks https://t.co/5yV71qd2Ew",en,"Moorpark, CA",http://pbs.twimg.com/media/FW1s6CnUIAIDkA0.jpg,"POLYGON ((-118.932832 34.257033, -118.932832 34.309133, -118.820164 34.309133, -118.820164 34.257033, -118.932832 34.257033))",cali_fire
14,15,1303073914151751680,2020-09-07 20:53:25+00:00,"Sophisticats open tonight till 6am 

£20 pp 

Good luck ladies and gentlemen 

💃💃💃💃💃💃💃💃💃💃💃💃 https://t.co/YXgV0phPLJ",en,na,na,"POLYGON ((0.025393 51.613051, 0.025393 51.66874, 0.096849 51.66874, 0.096849 51.613051, 0.025393 51.613051))",random
15,16,1322814448931872770,2020-11-01 08:15:15+00:00,"@VikingSizeGamer I've only ever managed to get through and hit 50k once in five previous attempts, and that was back when I was working from home full time in 2011. Found the spring/summer one much easier in the past. Nov tends to be crunchy 😬",en,na,na,"POLYGON ((-0.662994 51.440818, -0.662994 51.49632, -0.600029 51.49632, -0.600029 51.440818, -0.662994 51.440818))",random
16,17,1540455707601883137,2022-06-24 22:03:55,"⚠️⚠️⚠️🔥🔥🚨 New info about the fire just west of the MH Mushroom plant near Hale/Live Oak. @JeffRanieri @RobMayeda @KimVestalDJ @KCBSAMFMTraffic 

⚠️=Heads Up
⚠️⚠️=Impact/Advisory
⚠️⚠️⚠️=Alert/Urgent",en,"San Martin, CA",,"POLYGON ((-121.630143 37.056231, -121.630143 37.119844, -121.560604 37.119844, -121.560604 37.056231, -121.630143 37.056231))",cali_fire
17,18,1495726722351648773,2022-02-21 11:46:54,"FireFlow, Merced River, Yosemite.  February 2022 @ Yosemite National Park https://t.co/nn11gazNNF",en,"California, USA",,POINT (-119.59038734 37.74689681),cali_fire
18,19,1356175379208282114,2021-02-01 09:39:41+00:00,Youngest pup,en,na,na,"POLYGON ((-0.351597 51.491866, -0.351597 51.537638, -0.243263 51.537638, -0.243263 51.491866, -0.351597 51.491866))",random
19,20,1322919471527399430,2020-11-01 15:12:35+00:00,@TheFibroidPuppy Madness on a Sunday 👊,en,na,na,"POLYGON ((0.384123 51.264277, 0.384123 51.279681, 0.418502 51.279681, 0.418502 51.264277, 0.384123 51.264277))",random
20,21,1333691655929663489,2020-12-01 08:37:24+00:00,"@ZenInternetHelp Hi, my internet has been extremely slow this morning. Any idea why? Post code is Cm13nu. Cheers! Ken",en,na,na,"POLYGON ((0.406773 51.723687, 0.406773 51.738547, 0.4357 51.738547, 0.4357 51.723687, 0.406773 51.723687))",random
21,22,1543892812554551301,2022-07-04 09:41:45,"LACoFD-1 | S. Bay / Santa Catalina Residential Fire reported at E 234th St / Panama Ave

https://t.co/OG2wqnWPvE
#lacofd #lacofdalert",en,"Carson, CA",,POINT (-118.268045 33.813085),cali_fire
22,23,1333830925327753216,2020-12-01 17:50:48+00:00,"@CasualBirderPod To late in the day Suzy , can’t remember can I have last bird seen & heard ?",en,na,na,"POLYGON ((0.090512 51.686662, 0.090512 51.708901, 0.127324 51.708901, 0.127324 51.686662, 0.090512 51.686662))",random
23,24,1333778600366125056,2020-12-01 14:22:53+00:00,"@JoePassmore I refuse to choose, they are both god tier",en,na,na,"POLYGON ((-0.632939 51.283513, -0.632939 51.349531, -0.464732 51.349531, -0.464732 51.283513, -0.632939 51.283513))",random
24,25,1567686310835671040,2022-09-08 01:28:37,2 helicopters responding to #FairviewFire https://t.co/ooVmo1emuh,en,"Hemet, CA",http://pbs.twimg.com/ext_tw_video_thumb/1567686245211586561/pu/img/0rdR-cQtkfKk75Zl.jpg,"POLYGON ((-117.071232 33.685766, -117.071232 33.772991, -116.908609 33.772991, -116.908609 33.685766, -117.071232 33.685766))",cali_fire
25,26,1552422937059213312,2022-07-27 22:37:25,"Not a wildfire but intense #nevadacounty FF call: ""Firefighters have located two of the three people reported in or near the structure on Gracie Road. IC is switching to defensive firefighting, pulling all firefighters out of the structure."" https://t.co/3JDbDAOuSz",en,"Lake Wildwood, CA",,"POLYGON ((-121.219219 39.214105, -121.219219 39.264876, -121.163687 39.264876, -121.163687 39.214105, -121.219219 39.214105))",cali_fire
26,27,1333843423447703552,2020-12-01 18:40:28+00:00,@scottygb Fresh Prince won’t compete with The Crown!,en,na,na,"POLYGON ((-0.110331 51.261343, -0.110331 51.322055, -0.037575 51.322055, -0.037575 51.261343, -0.110331 51.261343))",random
27,28,1333838611876294659,2020-12-01 18:21:21+00:00,@MovinLegalLtd @MrsEmmaHall @Roger08Roger @ReynoldsRambles Is there a dress code?,en,na,na,"POLYGON ((-0.335879 51.672586, -0.335879 51.696172, -0.30398 51.696172, -0.30398 51.672586, -0.335879 51.672586))",random
28,29,1333841865473359872,2020-12-01 18:34:16+00:00,Just posted a photo @ TONI&GUY Academy London https://t.co/WCcKATEiq3,en,na,na,POINT (-0.12806 51.51658),random
29,30,1333717899173892096,2020-12-01 10:21:41+00:00,@Jayney_M About right 🤣🤣🤣😘,en,na,na,"POLYGON ((-0.015449 51.670231, -0.015449 51.705531, 0.038314 51.705531, 0.038314 51.670231, -0.015449 51.670231))",random
30,31,1323299386307284993,2020-11-02 16:22:14+00:00,Amazing. I’m sorry I missed but they were buzzing.  Privileged to be working with you and can’t wait to see what you all came up with.,en,na,na,"POLYGON ((0.010398 51.543815, 0.010398 51.626165, 0.147328 51.626165, 0.147328 51.543815, 0.010398 51.543815))",random
31,32,1322705139644456962,2020-11-01 01:00:54+00:00,The original and best bond! Before I knew I wanted to be an actor I knew I wanted to be this guy. A true icon of cinema RIP Sean Connery https://t.co/L75vMWu4T8,en,na,na,"POLYGON ((0.058517 51.740664, 0.058517 51.795864, 0.154957 51.795864, 0.154957 51.740664, 0.058517 51.740664))",random
32,33,1302356255110049793,2020-09-05 21:21:42+00:00,"@Sam_Craske Errrmmm unless you’ve seen Diversity, I suggest you keep your mouth shut! Ejit! 🤦‍♀️ #Diversity love you guys ❤️",en,na,na,"POLYGON ((0.329324 51.22095, 0.329324 51.233262, 0.348824 51.233262, 0.348824 51.22095, 0.329324 51.22095))",random
33,34,1570228589060296707,2022-09-15 01:50:43,!! FAIRVIEW FIRE !! Evacuation Warning Area in #Hemet on State St SB between Stetson Ave and Domenigoni Pkwy/Gibbel Rd #LAtraffic https://t.co/e2e6MWlmlg,en,"Hemet, CA",,POINT (-116.9715 33.72937),cali_fire
34,35,1324675943554842626,2020-11-06 11:32:10+00:00,Just posted a photo @ Hanover Primary School https://t.co/ZQpGxQIH2O,en,na,na,POINT (-0.09753938 51.53299437),random
35,36,1356077842195484673,2021-02-01 03:12:06+00:00,The Miz destroys the DJ set of Bad Bunny #RoyalRumble,en,na,na,"POLYGON ((-0.523333 51.378382, -0.523333 51.460781, -0.381669 51.460781, -0.381669 51.378382, -0.523333 51.378382))",random
36,37,1544180264443600896,2022-07-05 04:43:59,"Alright, let’s get all these fireworks off tonight. I don’t want to hear any poppin’ off past midnight. You get today. Don’t pull no bullshit.",en,"Manteca, CA",,"POLYGON ((-121.300453 37.768376, -121.300453 37.864531, -121.175722 37.864531, -121.175722 37.768376, -121.300453 37.768376))",cali_fire
37,38,1302349450036350978,2020-09-05 20:54:40+00:00,"""Potatoes"" in #Hoddesdon #UnitedKingdom https://t.co/9aILyUaYlG #foodwaste #free",en,na,na,POINT (-0.013506 51.774227),random
38,39,1544091383568416768,2022-07-04 22:50:48,"LAFD-South Structure Fire reported at S Western Av / 84th Pl

https://t.co/i7D1kckjZl
#lafd #lafdalert",en,"Los Angeles, CA",,POINT (-118.30836 33.961688),cali_fire
39,40,1333823068406493184,2020-12-01 17:19:35+00:00,@P_the_barbarian @CanonUKandIE My pleasure 😊,en,na,na,"POLYGON ((-0.632939 51.283513, -0.632939 51.349531, -0.464732 51.349531, -0.464732 51.283513, -0.632939 51.283513))",random
40,41,1323254364069367808,2020-11-02 13:23:19+00:00,So Ipsy just brought boxy charm 👀,en,na,na,"POLYGON ((-0.481469 51.339482, -0.481469 51.412008, -0.342575 51.412008, -0.342575 51.339482, -0.481469 51.339482))",random
41,42,1543297922401333248,2022-07-02 18:17:52,"I for one Refuse™️ to give up the simple pleasures of cookout food and watching shit explode in the sky just because I am VERY MUCH not happy with our country, so if you see me post food/fireworks on the fourth- mind ya business 🤡",en,"San Diego, CA",,"POLYGON ((-117.282538 32.53962, -117.282538 33.080404, -116.92744 33.080404, -116.92744 32.53962, -117.282538 32.53962))",cali_fire
42,43,1302342295140864000,2020-09-05 20:26:14+00:00,My date tonight 😍 https://t.co/JAeb8IXNWG,en,na,na,"POLYGON ((-0.100615 51.681067, -0.100615 51.755575, -0.010847 51.755575, -0.010847 51.681067, -0.100615 51.681067))",random
43,44,1544603680833519618,2022-07-06 08:46:29,"LAFD-West Structure Fire reported at S Westwood Bl / Wilkins Ave

https://t.co/ASZ0xkIwzn
#lafd #lafdalert",en,"Los Angeles, CA",,POINT (-118.44173 34.055265),cali_fire
44,45,1322842806310838279,2020-11-01 10:07:56+00:00,@SocialistVoice @jacqui703 All the politicians of the many years past all long gone of both parties rot started end of Thatcher then Blair.,en,na,na,"POLYGON ((-0.387744 51.349772, -0.387744 51.403572, -0.305355 51.403572, -0.305355 51.349772, -0.387744 51.349772))",random
45,46,1536170417689350145,2022-06-13 02:15:42,"Wildfire near Wrightwood. Residents asked to evacuated. @ Wrightwood, California https://t.co/cMAmdHXtB3",en,"Wrightwood, CA",,POINT (-117.629 34.3558),cali_fire
46,47,1302238571298988035,2020-09-05 13:34:04+00:00,"On top of everything else, the protestors seem to have done the most damage to small, local newsagent. In my area the big supermarket chains had stocks of newspapers; not so their small High Street competitors #owngoal",en,na,na,"POLYGON ((-0.627464 51.652719, -0.627464 51.690274, -0.546773 51.690274, -0.546773 51.652719, -0.627464 51.652719))",random
47,48,1322957764805754880,2020-11-01 17:44:45+00:00,Rail placement https://t.co/cp09VfYn7e,en,na,na,"POLYGON ((0.252097 51.597898, 0.252097 51.645571, 0.364782 51.645571, 0.364782 51.597898, 0.252097 51.597898))",random
48,49,1323035036246069254,2020-11-01 22:51:48+00:00,@Nigel_Farage @mancunianmedic Will you just F*** O**! https://t.co/RzoYbJpIio,en,na,na,"POLYGON ((-0.65807 51.687386, -0.65807 51.726722, -0.581426 51.726722, -0.581426 51.687386, -0.65807 51.687386))",random
49,50,1551380286264332288,2022-07-25 01:34:18,The air attack on the #OakFire is becoming a marathon this afternoon! The temps are hot and the air is dry! The fire is pushing hard along Jerseydale rd. https://t.co/zsLUHg0DdL,en,"Oakhurst, CA","http://pbs.twimg.com/media/FYecJI5VUAE6J6n.jpg,http://pbs.twimg.com/media/FYecJI6VQAAoLfm.jpg,http://pbs.twimg.com/media/FYecJI6VQAEuHch.jpg,http://pbs.twimg.com/media/FYecJI5VUAAHZmO.jpg","POLYGON ((-119.671846 37.300488, -119.671846 37.370568, -119.603613 37.370568, -119.603613 37.300488, -119.671846 37.300488))",cali_fire
50,51,1570902886342881280,2022-09-16 22:30:08,"Urban fires hv an impact on the community & fire crews!  Unfortunately, any fire in this densely populated area affects everyone in Oakland.  Those displaced have to emotionally & physically rebuild!  Just grateful we have a fire station in our area & it wasnt yet rush hour https://t.co/hMlK65DYJo",en,"Oakland, CA",http://pbs.twimg.com/media/Fcz32PraEAANgrV.jpg,"POLYGON ((-122.34266 37.699279, -122.34266 37.884709, -122.114711 37.884709, -122.114711 37.699279, -122.34266 37.699279))",cali_fire
51,52,1323297407489216513,2020-11-02 16:14:22+00:00,@Chandlej @AbsoluteGemini @JRehling @CNNPR @kirstiealley @realDonaldTrump @MeidasTouch @ProjectLincoln @glennkirschner2 @Hatewatch Clever #cats 😂 https://t.co/uGeKh8y2mI,en,na,na,"POLYGON ((-0.662994 51.440818, -0.662994 51.49632, -0.600029 51.49632, -0.600029 51.440818, -0.662994 51.440818))",random
52,53,1333850824674603009,2020-12-01 19:09:53+00:00,@OllieHolt22 It’s rare that...£3.65 outbid?,en,na,na,"POLYGON ((-0.536549 51.6362, -0.536549 51.6652, -0.499034 51.6652, -0.499034 51.6362, -0.536549 51.6362))",random
53,54,1333856861909606412,2020-12-01 19:33:52+00:00,👎🏻. Save it for the game where we win the league 👍🏻 https://t.co/8cpfDazwPb,en,na,na,"POLYGON ((0.412088 51.506403, 0.412088 51.545935, 0.478514 51.545935, 0.478514 51.506403, 0.412088 51.506403))",random
54,55,1323855491802554370,2020-11-04 05:11:59+00:00,@Ravenbaby71 good night Justine my dear friend have a most beautiful sweet dreams https://t.co/FVeU4AKdKu,en,na,na,"POLYGON ((0.252097 51.597898, 0.252097 51.645571, 0.364782 51.645571, 0.364782 51.597898, 0.252097 51.597898))",random
55,56,1560721712987181057,2022-08-19 20:13:47,"LACoFD-1 | S. Bay / Santa Catalina Residential Fire reported at 250th St / Woodward Ave

https://t.co/DS7YNP8Jhb
#lacofd #lacofdalert",en,"Lomita, CA",,POINT (-118.31925 33.797755),cali_fire
56,57,1302336526014177284,2020-09-05 20:03:18+00:00,"What a difference a lash lift and tint makes! Yesterday we were busy with lash extensions, today it was lash lift and facials! How we’ve all missed our lashes and facial treatments! #beautymaniaherts #lashlift… https://t.co/BmtDPkJkW5",en,na,na,POINT (-0.1841658 51.784716),random
57,58,1333746461872443394,2020-12-01 12:15:10+00:00,"@ksorbs Because a con man is trying to steal the election with fraud, and as a black woman, she doesn't need angry, fat, white a-holes trying to shame her for 'overstepping.'",en,na,na,"POLYGON ((-0.523333 51.378382, -0.523333 51.460781, -0.381669 51.460781, -0.381669 51.378382, -0.523333 51.378382))",random
58,59,1567244856749346816,2022-09-06 20:14:26,Another fire just broke out in Covina Hills. This was sparked by a vehicle fire at Via Verde and the 10. A lot more… https://t.co/RVmdWF33xy,en,"Covina, CA",,"POLYGON ((-117.927041 34.068114, -117.836898 34.068114, -117.836898 34.106972, -117.927041 34.106972, -117.927041 34.068114))",cali_fire
59,60,1561528818648731649,2022-08-22 01:40:56,"LAFD-Central Structure Fire reported at E 15th St / Long Beach Ave

https://t.co/XQ5UetpAif
via @LAIT911",en,"Los Angeles, CA",,POINT (-118.24178 34.024664),cali_fire
60,61,1323315580754186244,2020-11-02 17:26:35+00:00,"Seriously. @Twitter is definitely watching me. 

#Election2020 #Hotmess",en,na,na,"POLYGON ((-0.592372 51.749559, -0.592372 51.773411, -0.538989 51.773411, -0.538989 51.749559, -0.592372 51.749559))",random
61,62,1333870958604652549,2020-12-01 20:29:53+00:00,@cjdemooi @DirectorDan86 He's my twin!,en,na,na,"POLYGON ((-0.523333 51.378382, -0.523333 51.460781, -0.381669 51.460781, -0.381669 51.378382, -0.523333 51.378382))",random
62,63,1547763350926286849,2022-07-15 02:01:53,"LAFD-South Structure Fire reported at S Hooper Av / Slauson Ave

https://t.co/IGGXDgK5Mr
#lafd #lafdalert",en,"Florence-Graham, CA",,POINT (-118.25206 33.989375),cali_fire
63,64,1356267998324137985,2021-02-01 15:47:43+00:00,Brisk walk on Esher Common this afternoon. https://t.co/PnJyK32Jpo,en,na,na,"POLYGON ((-0.481469 51.339482, -0.481469 51.412008, -0.342575 51.412008, -0.342575 51.339482, -0.481469 51.339482))",random
64,65,1548875145753665537,2022-07-18 03:39:46,"#Fire #StructureFire AutoZone on fire in #Ventura. #JustHappened

Commentary from my mom. https://t.co/kZHQEgOjE6",en,"Ventura, CA",http://pbs.twimg.com/ext_tw_video_thumb/1548874967441256448/pu/img/3QaHgwhf9AZofYWW.jpg,"POLYGON ((-119.321696 34.23444, -119.321696 34.344939, -119.136287 34.344939, -119.136287 34.23444, -119.321696 34.23444))",cali_fire
65,66,1569470987766480897,2022-09-12 23:40:17,"@thehill As an adjuster that lived and worked in Chico after the Wildfires that destroyed Paradise, CA, I can tell you that many residents do not agree with him and blame the deniers for the outbreaks there.",en,"San Jose, CA",,"POLYGON ((-122.035311 37.193164, -122.035311 37.469154, -121.71215 37.469154, -121.71215 37.193164, -122.035311 37.193164))",cali_fire
66,67,1322851274115735552,2020-11-01 10:41:35+00:00,Saturdays 😍 https://t.co/rDLeYnjqFu,en,na,na,"POLYGON ((-0.662994 51.440818, -0.662994 51.49632, -0.600029 51.49632, -0.600029 51.440818, -0.662994 51.440818))",random
67,68,1557929423080304640,2022-08-12 03:18:14,"We’ve been without internet since 1 today . A big arsenal fire happened around my area thankfully were safe and have power. However, my hotspot is doing its job ATM!!",en,"Roseville, CA",,"POLYGON ((-121.385009 38.716061, -121.385009 38.81026, -121.216452 38.81026, -121.216452 38.716061, -121.385009 38.716061))",cali_fire
68,69,1322972627728826377,2020-11-01 18:43:48+00:00,@rubenchy24 Sure was,en,na,na,"POLYGON ((0.244145 51.438822, 0.244145 51.456306, 0.297592 51.456306, 0.297592 51.438822, 0.244145 51.438822))",random
69,70,1520592472279187456,2022-05-01 02:34:31,#bushfire #eastvale #tuscanchicken #9.5/10 https://t.co/xOGQbTCLGd,und,"Eastvale, CA","http://pbs.twimg.com/media/FRo6x1oUUAAKTTH.jpg,http://pbs.twimg.com/media/FRo6x1oVEAAg-gE.jpg","POLYGON ((-117.611068 33.925197, -117.611068 34.03349, -117.549003 34.03349, -117.549003 33.925197, -117.611068 33.925197))",cali_fire
70,71,1322821362986242049,2020-11-01 08:42:44+00:00,@CharlotteV @hammersmithandy @JuLlewellyn @LBRUT @StephenCowan Can you please clarify what you mean? This can be a great platform if we get clarity but otherwise it’s a wasted opportunity. #hammersmithbridge,en,na,na,"POLYGON ((-0.39216 51.391383, -0.39216 51.489646, -0.221832 51.489646, -0.221832 51.391383, -0.39216 51.391383))",random
71,72,1333813553678090241,2020-12-01 16:41:46+00:00,"Just posted a photo @ London, Unιted Kingdom https://t.co/5X5ISnLoym",en,na,na,POINT (-0.07939436 51.47496745),random
72,73,1482216166995021825,2022-01-15 05:00:47,Fuel is becoming a real problem for firefighters. Incident has been ongoing for over 3 hours now #Passaic #passaicfire #NewJersey,en,"Chico, CA",,"POLYGON ((-121.919174 39.676071, -121.919174 39.818003, -121.748286 39.818003, -121.748286 39.676071, -121.919174 39.676071))",cali_fire
73,74,1322875067219533824,2020-11-01 12:16:08+00:00,Iceland in feb is looking less and less likely. Fingers crossed 🤞🏻,en,na,na,"POLYGON ((-0.662994 51.440818, -0.662994 51.49632, -0.600029 51.49632, -0.600029 51.440818, -0.662994 51.440818))",random
74,75,1569310037440614402,2022-09-12 13:00:43,!! FAIRVIEW FIRE !! Evacuation Warning Area in #Hemet on State St NB between Cactus Vly Rd and Domenigoni Pkwy/Gibbel Rd #LAtraffic https://t.co/e2e6MWlmlg,en,"California, USA",,POINT (-116.9711 33.67207),cali_fire
75,76,1311561349382778880,2020-10-01 06:59:27+00:00,"@simoneady   Apparently you can’t use “beef stew” as a password. 
It’s not stroganoff.",en,na,na,"POLYGON ((-0.253407 51.269527, -0.253407 51.336645, -0.155273 51.336645, -0.155273 51.269527, -0.253407 51.269527))",random
76,77,1302336841325129728,2020-09-05 20:04:33+00:00,Living above both a Thai restaurant and a Turkish restaurant with their many lovely smells has done nothing but bad things to my waistline,en,na,na,"POLYGON ((-0.65807 51.687386, -0.65807 51.726722, -0.581426 51.726722, -0.581426 51.687386, -0.65807 51.687386))",random
77,78,1302344531132678146,2020-09-05 20:35:07+00:00,You really came on to the TL to be racist with your whole chest,en,na,na,"POLYGON ((-0.368615 51.729772, -0.368615 51.775108, -0.272269 51.775108, -0.272269 51.729772, -0.368615 51.729772))",random
78,79,1302253340269645825,2020-09-05 14:32:45+00:00,"Lovely #tedbaker #giftset Sweet Treats Polly contains 5ml #edt & 5ml #nailpolish . The #perfume has lovely notes of jasmine, peony, white musk. A perfect perfume present for under £10 in our #onlineshop… https://t.co/8hhU8kZ4wm",en,na,na,POINT (-0.27139 51.33307),random
79,80,1547396002524475392,2022-07-14 01:42:10,I work at a Burn Center hospital so I frequently see burn victims. It is not fun. Please be cautious when handling fire. But #JHOPE can always light a fire in my heart 😏,en,"Rancho Cucamonga, CA",,"POLYGON ((-117.637862 34.077184, -117.637862 34.166156, -117.486443 34.166156, -117.486443 34.077184, -117.637862 34.077184))",cali_fire
80,81,1333836639563603972,2020-12-01 18:13:31+00:00,Check out this lamp 500watt now that’s a light bulb https://t.co/qCvHzyjcc0,en,na,na,"POLYGON ((-0.650099 51.725855, -0.650099 51.747655, -0.62268 51.747655, -0.62268 51.725855, -0.650099 51.725855))",random
81,82,1551737764105691137,2022-07-26 01:14:47,@NonChron So sad. The fires make me feel so sad.,en,"Bakersfield, CA",,"POLYGON ((-119.172179 35.255821, -119.172179 35.437982, -118.878147 35.437982, -118.878147 35.255821, -119.172179 35.255821))",cali_fire
82,83,1532256896589217792,2022-06-02 07:04:46,"LA-West Structure Fire reported at Argyle Ave / Dix St

https://t.co/rwEbq2mfrY
#lafd #lafdalert",en,"Los Angeles, CA",,POINT (-118.325 34.106),cali_fire
83,84,1302256011055640576,2020-09-05 14:43:22+00:00,"@FalkirkWtstones @WaterstonesPicc @WaterstonesNewc @WaterstonesTCR @WaterstonesHarr @WaterstonesCole “It’s got a red cover, I think it was crime, and it was on that table in June last year”",en,na,na,"POLYGON ((-0.660061 51.490484, -0.660061 51.538905, -0.525138 51.538905, -0.525138 51.490484, -0.660061 51.490484))",random
84,85,1322971598199132160,2020-11-01 18:39:43+00:00,No penalty no Bruno. Further proves that he is a penalty merchant and a fraud. Mount is clear,en,na,na,"POLYGON ((-0.25981 51.728695, -0.25981 51.779423, -0.201667 51.779423, -0.201667 51.728695, -0.25981 51.728695))",random
85,86,1540152614071025665,2022-06-24 01:59:32,"LACoFD-3 | Crescenta / Santa Clarita Structure Fire reported at 24048 Rotunda Rd, Santa Clarita, Ca

https://t.co/6ujtaHxL23
#lacofd #lacofdalert",ro,"Santa Clarita, CA",,POINT (-118.55645 34.3838),cali_fire
86,87,1314905675391217665,2020-10-10 12:28:37+00:00,@WELBooks Happy to do so yesterday. Now excitedly waiting for books.,en,na,na,"POLYGON ((-0.213503 51.512805, -0.213503 51.572068, -0.105303 51.572068, -0.105303 51.512805, -0.213503 51.512805))",random
87,88,1302251105297076227,2020-09-05 14:23:52+00:00,@MarinaKim_ This could be stocking up a lot of trouble for the future.,en,na,na,"POLYGON ((-0.619506 51.205293, -0.619506 51.267548, -0.520729 51.267548, -0.520729 51.205293, -0.619506 51.205293))",random
88,89,1302330488728752129,2020-09-05 19:39:19+00:00,Rewatching Game of Thrones and I’m just gonna say it... Bran ain’t no king of mine #GOT,en,na,na,"POLYGON ((-0.304758 51.308464, -0.304758 51.381086, -0.217073 51.381086, -0.217073 51.308464, -0.304758 51.308464))",random
89,90,1305521697043308546,2020-09-14 15:00:02+00:00,"£675-£750pcm each, St. Albans (AL1): ""2 Double En-Suite Rooms Left Avaliable"" https://t.co/OBlHbG3Ega",en,na,na,POINT (-0.33536987 51.74993881),random
90,91,1541194457319710720,2022-06-26 22:59:27,"LAFD-Central Structure Fire reported at W Pico Bl / Grand Ave

https://t.co/D1qfBJGUXu
#lafd #lafdalert",en,"Los Angeles, CA",,POINT (-118.26444 34.03932),cali_fire
91,92,1323023345449926656,2020-11-01 22:05:20+00:00,It's all a game to @michaelgove,en,na,na,"POLYGON ((0.263781 51.661453, 0.263781 51.668772, 0.284126 51.668772, 0.284126 51.661453, 0.263781 51.661453))",random
92,93,1333787628773117964,2020-12-01 14:58:45+00:00,@JBC2000 I thoroughly enjoyed the first 5 episodes just let down by no; 6 xx,en,na,na,"POLYGON ((-0.660061 51.490484, -0.660061 51.538905, -0.525138 51.538905, -0.525138 51.490484, -0.660061 51.490484))",random
